annotation_order,predicted_dream_s,apparent_time_s,protocol,evaluation_protocol,dream_report_id,record_uid,subject_id,split,manual_final_stage,consensus_mean_s,consensus_sigma_population_s,dream_time_definition,stage_weights_json,stage_color_definition
17,2197.6067776634795,4587.134042961504,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_017,Kumral:Sub-015_task_sleep-awak002.edf,Sub-015,train,N2,460.0,74.83314773547883,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
18,0.1630729743915653,0.3172628664435392,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_018,Kumral:Sub-016_task_sleep-awak001.edf,Sub-016,train,N2,75.0,22.9128784747792,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
20,70.07622498844319,104.1702557140028,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_020,Kumral:Sub-016_task_sleep-awak003.edf,Sub-016,train,REM,200.0,56.56854249492381,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
21,161.2688573912464,223.11065498396255,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_021,Kumral:Sub-016_task_sleep-awak004.edf,Sub-016,train,N2,380.0,66.332495807108,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
22,34.661016454351795,183.49324433785475,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_022,Kumral:Sub-017_task_sleep-awak002.edf,Sub-017,train,N1,95.0,26.92582403567252,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
23,1516.35450711348,2161.1343203023375,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_023,Kumral:Sub-017_task_sleep-awak004.edf,Sub-017,train,N2,250.0,41.23105625617661,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
24,80.13336329582079,136.14529374308665,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_024,Kumral:Sub-018_task_sleep-awak001.edf,Sub-018,train,N2,210.0,45.8257569495584,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
25,291.1437133637253,471.7565366665581,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_025,Kumral:Sub-018_task_sleep-awak002.edf,Sub-018,train,REM,125.0,43.87482193696061,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
26,631.8575675211937,1758.9975524055085,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_026,Kumral:Sub-002_task_sleep-awak003.edf,Sub-002,test,N2,130.0,22.360679774997894,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
27,1001.063440002366,1684.4135166476938,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_027,Kumral:Sub-002_task_sleep-awak004.edf,Sub-002,test,N1,770.0,136.01470508735443,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
28,181.38326448503793,570.5737450102769,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_028,Kumral:Sub-004_task_sleep-awak003.edf,Sub-004,test,N2,165.0,22.9128784747792,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
30,100.79985476321558,174.2848736217398,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_030,Kumral:Sub-004_task_sleep-awak002.edf,Sub-004,test,REM,740.0,260.76809620810593,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
31,62.22247039499949,100.17856872805464,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_031,Kumral:Sub-005_task_sleep-awak001.edf,Sub-005,test,N2,42.5,13.46291201783626,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
32,1488.0758580730865,2494.0807426458346,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_032,Kumral:Sub-005_task_sleep-awak002.edf,Sub-005,test,N2,125.0,36.40054944640259,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
34,0.0,623.8895377312055,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_034,Kumral:Sub-005_task_sleep-awak004.edf,Sub-005,test,N2,440.0,123.28828005937952,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
35,697.5222856285961,1078.7693842585736,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_035,Kumral:Sub-006_task_sleep-awak003.edf,Sub-006,test,N2,770.0,257.87593916455256,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
36,333.7602170479258,563.1330336874869,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_036,Kumral:Sub-008_task_sleep-awak002.edf,Sub-008,test,N2,85.0,20.615528128088304,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
37,599.2551235432742,859.6590514429527,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_037,Kumral:Sub-008_task_sleep-awak003.edf,Sub-008,test,N2,170.0,41.23105625617661,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
38,583.4146481629671,948.8987563634942,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_038,Kumral:Sub-008_task_sleep-awak004.edf,Sub-008,test,N2,370.0,126.8857754044952,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
39,39.547724126357096,153.85905969029767,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_039,Kumral:Sub-010_task_sleep-awak002.edf,Sub-010,test,N1,130.0,28.284271247461906,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
40,1101.4251690151473,1478.0572702940017,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_040,Kumral:Sub-010_task_sleep-awak003.edf,Sub-010,test,N2,345.0,91.2414379544733,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
41,802.7581040902139,1243.1715432527556,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_041,Kumral:Sub-010_task_sleep-awak004.edf,Sub-010,test,N2,125.0,26.92582403567252,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
42,1470.1510442332926,2558.3058115219696,"held-aside test; global g locked from selected training IDs; fixed stage weights W=0, N1=0.849, N2=0.532, N3=0.508, REM=0.834",held-aside test; global g locked from selected training IDs,KUMRAL_DREAM_042,Kumral:Sub-010_task_sleep-awak005.edf,Sub-010,test,REM,660.0,192.8730152198591,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
